article,title
"us president george w. bush will be presented with a shining example of estonia 's technological prowess next week when he is gifted a skype phone during a brief stopover here , en route to the nato summit in latvia , officials said friday .",estonia to gift bush a skype phone
russia 's supreme court has ordered a review of the #### arrest of mikhail khodorkovsky 's business partner platon lebedev .,russian court reviews khodorkovsky partner s case
"nepal 's maoist prime minister pledged on tuesday to rehabilitate ##,### former rebel fighters confined to un-monitored camps since a #### peace deal .",nepal pm vows to integrate former rebel fighters
"here in southern california , home to the largest persian diaspora in the country , keeping up with events in iran has become an obsession for people like ali <unk> .",iranians in california feel a bond with protesters in tehran
china on wednesday called recent criticism of its religious appointments by the vatican `` dangerous .,china says vatican s criticism is dangerous
residents on australia 's northwest coast were warned to prepare for a second cyclone saturday as emergency crews began mopping up after another storm killed two people and injured at least ## .,western australian residents prepare for #nd cyclone
"wallis and futuna has won the bid to host the #### south pacific mini games , according to pacific games annual general meeting in apia , samoa on tuesday .",wallis and futuna to host #### south pacific mini games
scientists monitoring montserrat 's active volcano will soon move into a new observatory building closer to the mountain that will afford a better view of the steaming volcano .,new volcano observatory nearly ready for scientists in montserrat
"taiwan is planning to reopen its doors to journalists of china 's xinhua news agency and the people 's daily and allow them to be stationed in taiwan for limited periods to cover news events , the executive yuan spokeswoman said friday .",taiwan to reopen doors for chinese journalists
"indian prime minister atal behari vajpayee will visit the restive himalayan region of kashmir next month , his first trip there in nearly a year , an indian news agency said sunday .",indian pm expected in kashmir next month
